marca,id
Paraiso Frutal,1
Tropical Sabor,2
Delicia Naturaleza,3
Embrujo Frutal,4
Exotico Manjar,5
Sinfonia Delicias,6
Placer Frutado,7
Citricos Selectos,8
Rico Bosque,9
Aromas Celestiales,10
Rincon Frutas,11
Gourmet Frutas,12
Cosecha Divina,13
Jugoso Aroma,14
Sabroso Eden,15
Dulzura Silvestre,16
Paladar Dorado,17
Frescura Magica,18
Encanto Nativo,19
Maravilla Jugosa,20
Fresco Del Valle,21
Dulce Encanto,22
Arte Frutal,23
Fantasia Delicia,24
Vibrante Sabores,25
Tesoro Naturaleza,26
Manjar Fruity,27
Sabor Nativo,28
Delicioso Eden,29
Aventura Frutal,30
Exquisito Jardin,31
Fruta Dulce,32
Fiesta Sabor,33
Frescura Inigualable,34
Brisa Frutal,35
